proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SYN\SYN636-1.spass,0,23,14,-1,-1,-1,-1,-1,-1,-1,-1,0,2817,2757
GEO\GEO002-4.spass,1,23,14,29,10,17474600,-0.260869565,-3.43E-07,0.173913043,2.29E-07,7,22,2840,2779
SET\SET830-2.spass,1,23,11,23,11,275907,0,0,0,0,0,23,2863,2802
SWV\SWV291-2.spass,1,23,11,23,11,566857,0,0,0,0,0,23,2886,2825
SYN\SYN618-1.spass,1,23,12,34,12,8655115,-0.47826087,-1.27E-06,0,0,11,23,2909,2848
SET\SET834-2.spass,1,23,11,23,11,212800,0,0,0,0,0,23,2932,2871
SWV\SWV337-2.spass,1,23,13,34,12,81378625,-0.47826087,-1.35E-07,0.043478261,1.23E-08,11,23,2955,2894
SYN\SYN594-1.spass,1,23,12,23,12,425234,0,0,0,0,0,23,2978,2917
SWV\SWV299-2.spass,1,23,15,23,15,273339,0,0,0,0,0,23,3001,2940
SYN\SYN632-1.spass,1,24,13,31,11,13818465,-0.291666667,-5.07E-07,0.083333333,1.45E-07,8,23,3025,2963
SWV\SWV315-2.spass,1,24,10,24,10,211700,0,0,0,0,0,24,3049,2987
SYN\SYN619-1.spass,1,24,12,35,11,7298328,-0.458333333,-1.51E-06,0.041666667,1.37E-07,11,24,3073,3011
SWV\SWV321-2.spass,1,24,10,24,10,196291,0,0,0,0,0,24,3097,3035
SWB\SWB024+2.spass,1,24,12,24,12,167672,0,0,0,0,0,24,3121,3059
SET\SET009+3.spass,1,25,13,25,13,232246,0,0,0,0,0,25,3146,3084
CSR\CSR052+1.spass,1,25,15,25,15,116673,0,0,0,0,0,25,3171,3109
MGT\MGT036-1.spass,0,26,15,-1,-1,-1,-1,-1,-1,-1,-1,0,3197,3109
MGT\MGT036-2.spass,0,26,15,-1,-1,-1,-1,-1,-1,-1,-1,0,3223,3109
GRP\GRP001+6.spass,1,26,16,36,15,30182466,-0.384615385,-3.31E-07,0.038461538,3.31E-08,10,26,3249,3135
CSR\CSR050+1.spass,1,26,14,26,14,155564,0,0,0,0,0,26,3275,3161
SYN\SYN604-1.spass,1,26,15,39,14,14667466,-0.5,-8.86E-07,0.038461538,6.82E-08,13,26,3301,3187
COM\COM011-2.spass,0,27,15,-1,-1,-1,-1,-1,-1,-1,-1,0,3328,3187
PUZ\PUZ035-7.spass,1,28,19,35,16,23039703,-0.25,-3.04E-07,0.107142857,1.30E-07,9,26,3356,3213
ANA\ANA003-4.spass,1,29,12,29,12,246555,0,0,0,0,0,29,3385,3242
SWV\SWV300-2.spass,1,29,15,43,14,15631306,-0.482758621,-8.96E-07,0.034482759,6.40E-08,14,29,3414,3271
